"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0.0188679245283019
"14",0.0188679245283019
"15",0.0188679245283019
"16",0.0188679245283019
"17",0.0188679245283019
"18",0.0377358490566038
"19",0.0377358490566038
"20",0.0377358490566038
"21",0.0377358490566038
"22",0.0377358490566038
"23",0.0566037735849056
"24",0.0566037735849056
"25",0.0566037735849056
"26",0.0566037735849056
"27",0.0754716981132075
"28",0.0943396226415094
"29",0.0943396226415094
"30",0.0943396226415094
"31",0.0943396226415094
"32",0.113207547169811
"33",0.132075471698113
"34",0.132075471698113
"35",0.150943396226415
"36",0.169811320754717
"37",0.169811320754717
"38",0.188679245283019
"39",0.188679245283019
"40",0.207547169811321
"41",0.226415094339623
"42",0.245283018867924
"43",0.264150943396226
"44",0.283018867924528
"45",0.283018867924528
"46",0.283018867924528
"47",0.283018867924528
"48",0.283018867924528
"49",0.283018867924528
"50",0.283018867924528
"51",0.30188679245283
"52",0.320754716981132
"53",0.320754716981132
"54",0.320754716981132
"55",0.320754716981132
"56",0.339622641509434
"57",0.358490566037736
"58",0.377358490566038
"59",0.377358490566038
"60",0.377358490566038
"61",0.377358490566038
"62",0.377358490566038
"63",0.39622641509434
"64",0.415094339622642
"65",0.433962264150943
"66",0.452830188679245
"67",0.471698113207547
"68",0.471698113207547
"69",0.471698113207547
"70",0.490566037735849
"71",0.509433962264151
"72",0.528301886792453
"73",0.547169811320755
"74",0.566037735849057
"75",0.584905660377358
"76",0.60377358490566
"77",0.622641509433962
"78",0.641509433962264
"79",0.660377358490566
"80",0.679245283018868
"81",0.69811320754717
"82",0.716981132075472
"83",0.735849056603774
"84",0.754716981132076
"85",0.773584905660377
"86",0.773584905660377
"87",0.773584905660377
"88",0.792452830188679
"89",0.811320754716981
"90",0.811320754716981
"91",0.830188679245283
"92",0.830188679245283
"93",0.830188679245283
"94",0.830188679245283
"95",0.849056603773585
"96",0.849056603773585
"97",0.867924528301887
"98",0.886792452830189
"99",0.886792452830189
"100",0.905660377358491
"101",0.905660377358491
"102",0.905660377358491
"103",0.924528301886792
"104",0.943396226415094
"105",0.962264150943396
"106",0.981132075471698
"107",1
