"","x"
"1",0
"2",0
"3",0
"4",0
"5",0
"6",0
"7",0
"8",0
"9",0
"10",0
"11",0
"12",0
"13",0.0188679245283019
"14",0.0188679245283019
"15",0.0188679245283019
"16",0.0188679245283019
"17",0.0188679245283019
"18",0.0188679245283019
"19",0.0188679245283019
"20",0.0188679245283019
"21",0.0188679245283019
"22",0.0377358490566038
"23",0.0377358490566038
"24",0.0377358490566038
"25",0.0377358490566038
"26",0.0566037735849056
"27",0.0754716981132075
"28",0.0754716981132075
"29",0.0943396226415094
"30",0.0943396226415094
"31",0.0943396226415094
"32",0.0943396226415094
"33",0.113207547169811
"34",0.132075471698113
"35",0.132075471698113
"36",0.150943396226415
"37",0.169811320754717
"38",0.169811320754717
"39",0.169811320754717
"40",0.188679245283019
"41",0.207547169811321
"42",0.207547169811321
"43",0.207547169811321
"44",0.207547169811321
"45",0.226415094339623
"46",0.245283018867924
"47",0.264150943396226
"48",0.264150943396226
"49",0.283018867924528
"50",0.30188679245283
"51",0.320754716981132
"52",0.320754716981132
"53",0.339622641509434
"54",0.339622641509434
"55",0.339622641509434
"56",0.339622641509434
"57",0.339622641509434
"58",0.358490566037736
"59",0.358490566037736
"60",0.377358490566038
"61",0.39622641509434
"62",0.415094339622642
"63",0.433962264150943
"64",0.452830188679245
"65",0.471698113207547
"66",0.490566037735849
"67",0.509433962264151
"68",0.509433962264151
"69",0.509433962264151
"70",0.528301886792453
"71",0.547169811320755
"72",0.566037735849057
"73",0.584905660377358
"74",0.60377358490566
"75",0.622641509433962
"76",0.641509433962264
"77",0.660377358490566
"78",0.679245283018868
"79",0.69811320754717
"80",0.69811320754717
"81",0.69811320754717
"82",0.716981132075472
"83",0.735849056603774
"84",0.735849056603774
"85",0.735849056603774
"86",0.754716981132076
"87",0.773584905660377
"88",0.792452830188679
"89",0.811320754716981
"90",0.811320754716981
"91",0.811320754716981
"92",0.830188679245283
"93",0.849056603773585
"94",0.867924528301887
"95",0.886792452830189
"96",0.905660377358491
"97",0.905660377358491
"98",0.905660377358491
"99",0.905660377358491
"100",0.905660377358491
"101",0.905660377358491
"102",0.924528301886792
"103",0.943396226415094
"104",0.962264150943396
"105",0.962264150943396
"106",0.981132075471698
"107",1
