"","x"
"1",0
"2",0.0188679245283019
"3",0.0377358490566038
"4",0.0566037735849056
"5",0.0754716981132075
"6",0.0943396226415094
"7",0.113207547169811
"8",0.132075471698113
"9",0.150943396226415
"10",0.169811320754717
"11",0.188679245283019
"12",0.207547169811321
"13",0.207547169811321
"14",0.226415094339623
"15",0.245283018867924
"16",0.264150943396226
"17",0.283018867924528
"18",0.30188679245283
"19",0.320754716981132
"20",0.339622641509434
"21",0.358490566037736
"22",0.358490566037736
"23",0.377358490566038
"24",0.39622641509434
"25",0.415094339622642
"26",0.415094339622642
"27",0.415094339622642
"28",0.433962264150943
"29",0.433962264150943
"30",0.452830188679245
"31",0.471698113207547
"32",0.490566037735849
"33",0.490566037735849
"34",0.490566037735849
"35",0.509433962264151
"36",0.509433962264151
"37",0.509433962264151
"38",0.528301886792453
"39",0.547169811320755
"40",0.547169811320755
"41",0.547169811320755
"42",0.566037735849057
"43",0.584905660377358
"44",0.60377358490566
"45",0.60377358490566
"46",0.60377358490566
"47",0.60377358490566
"48",0.622641509433962
"49",0.622641509433962
"50",0.622641509433962
"51",0.622641509433962
"52",0.641509433962264
"53",0.641509433962264
"54",0.660377358490566
"55",0.679245283018868
"56",0.69811320754717
"57",0.716981132075472
"58",0.716981132075472
"59",0.735849056603774
"60",0.735849056603774
"61",0.735849056603774
"62",0.735849056603774
"63",0.735849056603774
"64",0.735849056603774
"65",0.735849056603774
"66",0.735849056603774
"67",0.735849056603774
"68",0.754716981132076
"69",0.773584905660377
"70",0.773584905660377
"71",0.773584905660377
"72",0.773584905660377
"73",0.773584905660377
"74",0.773584905660377
"75",0.773584905660377
"76",0.773584905660377
"77",0.773584905660377
"78",0.773584905660377
"79",0.773584905660377
"80",0.792452830188679
"81",0.811320754716981
"82",0.811320754716981
"83",0.811320754716981
"84",0.830188679245283
"85",0.849056603773585
"86",0.849056603773585
"87",0.849056603773585
"88",0.849056603773585
"89",0.849056603773585
"90",0.867924528301887
"91",0.886792452830189
"92",0.886792452830189
"93",0.886792452830189
"94",0.886792452830189
"95",0.886792452830189
"96",0.886792452830189
"97",0.905660377358491
"98",0.924528301886792
"99",0.943396226415094
"100",0.962264150943396
"101",0.981132075471698
"102",0.981132075471698
"103",0.981132075471698
"104",0.981132075471698
"105",1
"106",1
"107",1
