"","x"
"1",0
"2",0.0188679245283019
"3",0.0377358490566038
"4",0.0566037735849056
"5",0.0754716981132075
"6",0.0943396226415094
"7",0.0943396226415094
"8",0.113207547169811
"9",0.132075471698113
"10",0.150943396226415
"11",0.169811320754717
"12",0.188679245283019
"13",0.207547169811321
"14",0.226415094339623
"15",0.245283018867924
"16",0.264150943396226
"17",0.264150943396226
"18",0.283018867924528
"19",0.30188679245283
"20",0.320754716981132
"21",0.339622641509434
"22",0.339622641509434
"23",0.358490566037736
"24",0.377358490566038
"25",0.39622641509434
"26",0.415094339622642
"27",0.433962264150943
"28",0.433962264150943
"29",0.452830188679245
"30",0.471698113207547
"31",0.490566037735849
"32",0.509433962264151
"33",0.509433962264151
"34",0.509433962264151
"35",0.528301886792453
"36",0.547169811320755
"37",0.547169811320755
"38",0.566037735849057
"39",0.566037735849057
"40",0.584905660377358
"41",0.60377358490566
"42",0.60377358490566
"43",0.60377358490566
"44",0.622641509433962
"45",0.622641509433962
"46",0.641509433962264
"47",0.660377358490566
"48",0.679245283018868
"49",0.679245283018868
"50",0.679245283018868
"51",0.69811320754717
"52",0.69811320754717
"53",0.716981132075472
"54",0.716981132075472
"55",0.735849056603774
"56",0.735849056603774
"57",0.735849056603774
"58",0.735849056603774
"59",0.735849056603774
"60",0.735849056603774
"61",0.754716981132076
"62",0.754716981132076
"63",0.754716981132076
"64",0.773584905660377
"65",0.773584905660377
"66",0.773584905660377
"67",0.773584905660377
"68",0.773584905660377
"69",0.773584905660377
"70",0.773584905660377
"71",0.773584905660377
"72",0.773584905660377
"73",0.773584905660377
"74",0.773584905660377
"75",0.792452830188679
"76",0.811320754716981
"77",0.811320754716981
"78",0.830188679245283
"79",0.830188679245283
"80",0.849056603773585
"81",0.849056603773585
"82",0.849056603773585
"83",0.867924528301887
"84",0.867924528301887
"85",0.867924528301887
"86",0.886792452830189
"87",0.886792452830189
"88",0.886792452830189
"89",0.886792452830189
"90",0.905660377358491
"91",0.905660377358491
"92",0.905660377358491
"93",0.905660377358491
"94",0.905660377358491
"95",0.924528301886792
"96",0.924528301886792
"97",0.924528301886792
"98",0.924528301886792
"99",0.943396226415094
"100",0.962264150943396
"101",0.962264150943396
"102",0.962264150943396
"103",0.962264150943396
"104",0.962264150943396
"105",0.981132075471698
"106",0.981132075471698
"107",1
